ID,Test Scenarios,,Items for Pivot Table,Step,Test Data,Expected
US11-22,Month view - session color past vs current distinction,,US11 / AC3,"1. Navigate to Calendar (Month view)
2. Create past session (completed, before current time)
3. Create upcoming session (scheduled, after current time)
4. Verify visual color distinction","Month view
Current time: Mar 10, 2026 2:00 PM
Past session: Mar 8 10:00 AM
Upcoming: Mar 12 10:00 AM","- Past sessions display in muted/faded color
- Upcoming sessions display in regular color
- Distinction applies to all statuses"
US11-23,Month view - session overflow indicator (""3 more""),,US11 / AC3,"1. Navigate to Calendar (Month view)
2. Create 5 sessions on same date where only 2 fit in cell
3. Verify ""3 more"" indicator appears
4. Click ""3 more""
5. Verify popover opens with all sessions","Month view
Date cell can fit 2 sessions; 5 total sessions on that date
Sessions: 10:00 AM, 10:30 AM, 11:00 AM, 2:00 PM, 3:00 PM","- ""3 more"" indicator displays in cell
- Clicking opens popover (MAX HEIGHT: 292px)
- Popover lists all 5 sessions
- Popover scrollable"
US11-24,Month view - popover session listing (sorted by start time),,US11 / AC3,"1. Navigate to Month view
2. Click ""5 more"" indicator on a date
3. Verify popover lists all sessions
4. Verify sessions sorted by start_time ascending
5. Verify created_at sort for same start_time","Popover open
5 sessions: 10:00, 10:30, 2:00 PM (created 2026-03-01), 2:00 PM (created 2026-03-05), 3:00 PM","- Popover displays all sessions
- Sessions sorted by start_time ascending
- Same start_time: sorted by created_at ascending
- Each session shows: Start time, Client name
- Sessions clickable in popover"
US11-25,Month view - popover close (click outside),,US11 / AC3,"1. Navigate to Month view
2. Click ""3 more"" to open popover
3. Click outside popover area
4. Verify popover closes","Popover open over calendar","- Popover closes on outside click
- Calendar remains visible
- Date cell undimmed"
US11-26,Early canceled session display (dashed border, strikethrough),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create session, then cancel early
3. Verify session displays with dashed border
4. Verify Client name is strikethrough
5. Verify session still visible on calendar","Day view
Session status: Early Canceled
Original session: 10:00 AM - 11:00 AM, Client: Alice","- Session displays with dashed border (not solid)
- Client name appears strikethrough
- Session remains on calendar
- Color may be muted compared to scheduled sessions"
US11-27,Late canceled session display (dashed border + i icon + strikethrough),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create session, then cancel late
3. Verify session displays with dashed border
4. Verify ""i"" icon visible
5. Verify Client name is strikethrough","Day view
Session status: Late Canceled
Session: 2:00 PM - 3:00 PM, Client: Bob","- Session displays with dashed border
- ""i"" info icon visible (indicates late cancel)
- Client name appears strikethrough
- Session remains on calendar
- Color consistent with Early Cancel visual treatment"
US11-28,Canceled sessions not displayed on calendar (negative case),,US11 / AC3,"1. Navigate to Calendar (Day/Week/Month view)
2. Delete/remove a canceled session from rendering
3. Verify canceled sessions do NOT appear
4. Note: This is a negative test to verify requirement compliance","Calendar has mixed session statuses
Some sessions: Canceled (should NOT display)
Some sessions: Scheduled, Completed (should display)","- Only non-canceled sessions display
- Canceled sessions completely hidden from calendar view
- Scheduled and Completed sessions visible as normal"
US11-29,Session detail popover - open on session click,,US11 / AC4,"1. Navigate to Calendar (any view: Day/Week/Month)
2. Click on a session block/item
3. Verify session detail popover opens
4. Verify popover contains all session details","Calendar with sessions
Session exists: ""Fitness Coaching"", Mar 10, 10:00 AM - 11:00 AM","- Popover opens immediately on click
- Popover displays below or near session
- Popover does not overlay session completely"
US11-30,Session detail popover - display all information (full popover),,US11 / AC4,"1. Open session detail popover
2. Verify all fields display:
   - Session status (Scheduled)
   - Session name (""Fitness Coaching"")
   - Client name + avatar
   - Date (Mar 10, 2026)
   - Start time - end time (10:00 AM – 11:00 AM)
   - Duration (60 min)
   - Location type (In-person)
   - Address (""123 Main St"")
   - Location note (""Studio A, Ground Floor"")
   - Description (""Full body workout assessment"")
   - Note to client (""Bring water bottle"")
   - Trainer name + avatar","Session details:
- Status: Scheduled
- Name: Fitness Coaching
- Client: Alice Johnson (avatar)
- Date: Mar 10, 2026
- Start-end: 10:00 AM – 11:00 AM
- Duration: 60 min
- Location: In-person
- Address: 123 Main St, Suite 200
- Location note: Studio A, Ground Floor
- Description: Full body workout
- Note to client: Bring water bottle
- Trainer: John (Owner)","- All fields display with complete information
- No fields truncated to single word
- Long text wraps within popover
- Trainer info includes name + avatar
- All optional fields (Address, Note, Description) display when defined"
US11-31,Session detail popover - long notes wrapping,,US11 / AC4,"1. Open session detail popover for session with long note
2. Verify note text wraps to multiple lines
3. Verify popover height accommodates wrapped text
4. Verify readability is maintained","Session note: ""This is a detailed coaching plan for Q1. Client should focus on cardio improvement, flexibility, and core strength. Bring comfortable shoes and water. Session may extend if needed based on progress assessment.""","- Long note wraps within popover width
- Text remains readable
- Popover height expands to fit content
- Scrolling available if content exceeds max height"
US11-32,Session detail popover - action icons (Edit, Delete, Close),,US11 / AC4,"1. Open session detail popover
2. Verify icons displayed: Edit (pencil), Delete (trash), Close (X)
3. Hover on Edit icon
4. Verify tooltip: ""Edit session""
5. Hover on Delete icon
6. Verify tooltip: ""Cancel session""
7. Verify X icon has NO hover state","Popover open
Session: Scheduled, Fitness Coaching","- Edit icon (pencil) visible
- Delete icon (trash) visible
- X icon (close) visible
- Edit tooltip on hover: ""Edit session""
- Delete tooltip on hover: ""Cancel session""
- X icon has no tooltip/hover state
- Icons are clickable"
US11-33,Session detail popover - start-end time AM/PM logic (same day, same period),,US11 / AC4,"1. Open popover for session 9:00 AM - 10:00 AM
2. Verify time display: ""9:00 AM – 10:00 AM""
3. Open popover for session 2:00 PM - 3:00 PM
4. Verify time display: ""2:00 PM – 3:00 PM""","Popover open for 2 sessions:
1. 9:00 AM - 10:00 AM (both AM)
2. 2:00 PM - 3:00 PM (both PM)","- Same period: both times show am/pm
- Display: ""9:00 AM – 10:00 AM""
- Display: ""2:00 PM – 3:00 PM"""
US11-34,Session detail popover - start-end time AM/PM logic (multi-day),,US11 / AC4,"1. Open popover for session spanning days
2. Session: Wed 11:00 PM - Thu 1:00 AM (next day)
3. Verify display includes date for end time
4. Verify format: ""11:00 PM - <date>, <time>""","Session: Wed Mar 10 11:00 PM - Thu Mar 11 1:00 AM
Cross-day session","- Popover displays start: ""11:00 PM""
- Popover displays end: ""Thu, Mar 11, 1:00 AM"" (includes date)
- Format indicates cross-day session clearly"
US11-35,Session detail popover - responsive to long content (height/scrolling),,US11 / AC4,"1. Open popover for session with all optional fields populated
2. Verify popover height accommodates content
3. If content exceeds max height, verify scrolling works
4. Verify no content is cut off","Session with populated fields:
- Long description
- Long note
- Long location note
- Address
- Multiple AC coverage","- Popover renders with scrollable area if needed
- Content visible and readable
- Scroll bar appears if content exceeds container
- No text clipped unexpectedly"
